filename,./outputs/q2mult_CompleteData_NoGPT_20250114_215438.csv,./outputs/q2mult_PartiallyMissingData_GPT_20250119_155143.csv,./outputs/q2mult_PartiallyMissingData_NoGPT_20250115_200244.csv,ground_truth
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_drink.json,4.0,5.0,5.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_eat.json,3.0,1.0,1.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_find.json,1.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_grab.json,22.0,19.0,17.0,22.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_pour.json,1.0,4.0,4.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_put.json,16.0,13.0,12.0,16.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_rinse.json,1.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_shake.json,1.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_sit.json,5.0,6.0,4.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_soak.json,2.0,1.0,1.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_squat.json,3.0,0.0,0.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_stand.json,5.0,3.0,3.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_switchOff.json,0.0,0.0,0.0,7.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_switchOn.json,0.0,0.0,0.0,7.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_throw.json,1.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_turnTo.json,0.0,0.0,0.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_type.json,2.0,0.0,0.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_walk.json,67.0,52.0,44.0,67.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day10_wipe.json,3.0,0.0,0.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_close.json,2.0,2.0,2.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_grab.json,14.0,16.0,16.0,14.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_open.json,2.0,7.0,3.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_put.json,6.0,10.0,10.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_putIn.json,0.0,0.0,0.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_read.json,2.0,1.0,1.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_scrub.json,2.0,4.0,4.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_sit.json,4.0,3.0,2.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_stand.json,2.0,4.0,4.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_switchOff.json,0.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_switchOn.json,0.0,0.0,0.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_turnTo.json,0.0,0.0,0.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_walk.json,49.0,55.0,52.0,49.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_wipe.json,1.0,2.0,1.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day1_write.json,1.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_close.json,1.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_grab.json,4.0,8.0,8.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_open.json,1.0,4.0,1.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_pour.json,1.0,1.0,1.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_put.json,2.0,2.0,2.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_sit.json,3.0,3.0,1.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_stand.json,1.0,3.0,2.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_switchOff.json,0.0,0.0,0.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_switchOn.json,0.0,0.0,0.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_walk.json,21.0,23.0,22.0,21.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day2_wipe.json,2.0,0.0,0.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day3_close.json,2.0,4.0,4.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day3_drink.json,3.0,2.0,2.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day3_grab.json,27.0,24.0,24.0,27.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day3_open.json,2.0,4.0,4.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q2/q2_answer_scene1_Day3_pour.json,5.0,1.0,1.0,5.0
